,cleaned_job_role,cleaned_job_description,cleaned_skills,skills_extracted
318,Fullstack Developer,"Job DescriptionImplement responsive web design principles to ensure that our company website renders well across multiple devicesDesign a framework for creating user apps that grows with the needs of the companyMonitor website performance, watch for traffic drops related to site usability problems and rectify the issuesReview app and feature coding and plan future website upgrades with the development teamAssist in the development of applications and features that will be put on the website and in internal functions as wellQualificationsBachelors Degree in Computer Science or related field3+ years of web development experience required. Development experience for Mobile screens would be a plus.Strong knowledge of Javascript. Proficiency in Typescript & React Js would be a plus.Strong knowledge of web development tools and programming languagesMinimum of 2 years Ex",,"['Mobile', 'Typescript & React Js']"
319,Junior Finance Associate,"Duties and Responsibilities: Keeping track of all payments and expenditures, keeping the books up to date Reconciling processed work by verifying entries and comparing system reports to balances Maintaining historical records Paying employees by verifying expense reports on the basis of existing policies Paying vendors by scheduling pay checks and ensuring payment is received for outstanding credit; generally responding to all vendor enquiries regarding finance Preparing analyses of accounts and producing monthly reports Continuing to improve the payment processRequirements:1. Bachelor's in commerce (with basic tech knowledge) or any relevant background 2. Strong Excel Skills3. Good logical reasoning and skill to make actionable insights out of data4. Ability to build hypotheses and solve problems.",,['Bachelor']
320,Operations Associate,Responsibilities :Offer Creation optimisation and check on go live of productsCheck of active & inactive listing of productsUpdate ongoing hygiene like pictures updates on platformsRaising cases with marketplaces on issues & disputesImplanting questions on ASINsRaise tickets in case there is anything inactive go live on FSNCreate FBA pickup requestsPull out data from Saas platforms for weekly/monthly dashboardsCollection of all invoices on monthly basis for recordsChecking reviews reaching out to website customers for reviewsRequirements:Bachelors in Business Studies/Business Administration/Management1 to 2 years of experience in operationsPreferably from Internet/Ecommerce background,,"['FSNCreate', 'Saas', 'Business Studies/Business Administration']"
321,Sales Associate,"WHAT WILL YOU DO? Communicating with customers, making outbound calls to potential customers, and following up on leads. Understanding customers needs and identifying sales opportunities. Answering potential customers' questions and sending additional information per email. Keeping up with product and service information and updates. Creating and maintaining a database of current and potential customers. Explaining and demonstrating features of products and services. Staying informed about competing products and services. Upselling products and services. Researching and qualifying new leads. Closing sales and achieving sales targetsWHAT DO YOU NEED TO BRING TO THE TABLE? 1-5 years of experience in a similar role in the Real Estate/ Hospitality/ Insurance. Enthusiasm to work in a target Oriented Environment Good Negotiation Skills. Exceptional customer service skills. Excellent communication skills - verbal (English). Any other language is an added advantage. An understanding of timelines. A go-getter attitude, with the will to do what it takes and be flexible with a pure outcome focus. Good organizational skills and the ability to multitask. Good memory - at any given point, there will be a bunch of conversations you are driving, and context is a king or queen! Willing to travel within East Bangalore.",,['TABLE']
322,Head of Engineering,"What You Will Do Mentor and coach a team of 3-5; engineers, data scientists and analysts. The role will also require you to pitch in with about 40% of individual contribution. Drive the priority charter for the team, be responsible for quality and timeliness of delivery. Understand business concerns and formulate them as technical problems that can be solved using data and math/stats/ML. Work with product managers, and business users to build, deploy, and scale data science solutions on property documentation available in public domain and from customers. Analyse large volume data and generate insights that will be actionable and helps business/product to take key decisions. Ensure quality of the data marts, dashboards and analysis of your team.What You Will Need Bachelor's/Masters Degree/PhD in Computer Science, Statistics, Operation research or other quantitative fields, with at least 6-8 years of relevant experience At least 2 years experience of managing a team. Solid knowledge and hand-on experience of data science and machine learning fundamentals, with proven experience to formulate data science solutions for business problems. Practical experience in SQL and building visualisations. Understanding of front-end (React Js). Strong ability to identify problem areas and convert ambiguous statements into actionable initiatives. Ability to write clear and concise technical documentation. Experience in taking data science models to production and their maintenance. Expertise to conduct analysis independently for a business problem through data manipulation, formulation of hypotheses, design and statistical analysis of experiments to test them.",,['Statistics']
323,Embedded software engineer,"Responsibilities Hardware/PCB design for various micro controller and microprocessor-based systems Embedded firmware design mainly with communication protocols like UART, SPI, I2C andwith rs232, rs485 Modbus protocols Designing of firmware to communicate with different servers and cloud platforms to enableIoT. Testing of both hardware and firmware using firmware debugging tools and hardwaredebugging tools like CRO, signal generator, multi meter etc. Provide support to clients and assistance in the support of systems at other locations.Qualification & Experience B. Tech, MS or equivalent) in ECE, Electrical or Mechanical, computer science with 2-5 yearsof work experience in the Embedded IoT field. Experience of HW designing rules, PCB Layout in Cadsoft Eagle / KIKAD (KiCad) /AltiumDesigner (/ OrCad-Allegro) etc. Hands-on experience on Oscilloscopes, Logic Analyzer, Function/Signal generator, SolderStation (SMD/DIP). Experience in C, C++ (Cross compilers) and python based embedded firmware development,debugging and testing. Protocols: - Ethernet, Wi-Fi, USB, Serial interfaces (UART, SPI, I2C, RS485, RS422,RS232), Modbus, HTTP, MQTT, (Bluetooth 5) Hardware/PCB design with 2 or higher layer boards (preference: eagle, (KiCad), OrCad Allegro or Altium). Embedded firmware development, need to be strong c, basic knowledge of C++ and Python. Ability to work with various microcontrollers (preference: ARM Cortex M4 or higher). Hands-on experience in any Cross compilers like Keil / IAR / Atmel Studio / CCS) Ability to work with various microprocessors (preference: ARM Cortex A7 or higher). Ability to implement WIFI, Ethernet, (Bluetooth) and GSM based IOT systems. Basic knowledge of electronic circuits and power section design. Develop test frameworks and operational tools for testing Troubleshoot and support forsoftware deployed. Documentation and communicate plans and updates (EMI / EMC compatible design or testexperience will be an advantage.)",,"['PCB', 'UART', 'SPI', 'I2C', 'rs232', 'rs485 Modbus', 'CRO', 'Qualification & Experience B. Tech', 'ECE', 'Embedded IoT', 'PCB', 'Cadsoft Eagle / KIKAD', 'OrCad-Allegro', 'Function/Signal', 'SolderStation', 'SMD/DIP', 'C, C++', 'USB', 'Serial', 'UART', 'SPI', 'RS485', 'RS422,RS232', 'Modbus', 'HTTP', 'MQTT', 'PCB', 'Altium', 'Cross', 'Keil / IAR / Atmel Studio', 'GSM', 'IOT', 'Develop', 'EMI', 'EMC']"
324,UI/UX Developer,"JD UI/UX Developer- Part time/Free lancerUX Designer responsibilities and dutiesDevelop mockups for our development and design teamCoordinate with UI design team on issues like navigation, page routing, product page design and moreConduct competitive analyses of other websites & apps that operate in the same spaceConduct usability tests on each independent type of page on the website and create a report showcasing your findingsPrepare customer analyses based on our target demographic and initial transactionsParticipate in creating a content development strategyUX Designer qualifications and skillsBachelors Degree in Computer Design, Development or Engineering requiredSuperior knowledge of products like InDesign, Illustrator and Figma.Understanding of the B2B2Cmarketplace and the functions of Fintech marketExperience preparing detailed competitive and consumer analysesYears of experience 2-4Years",,"['UI', 'Development or Engineering', 'Illustrator', 'Figma']"
325,Python Mentor,"For the Python programming mentors, we are looking for individuals who are experts in:PythonDjangoPostgresRabbitMQRestAPIIt would also be beneficial if the candidates have a basic understanding of:HTML5CSS3JavaScriptGitHubStrong teaching experience is required.",,[]
326,Talent Acquisition Executive,"ResponsibilitiesCoordinate with HR Team to identify staffing needsDetermine selection criteriaSource potential candidates through online channels (e.g. social platforms and professional networks)Plan and Execute interview and selection procedures, including screening calls, assessments and online-interviewsAssess candidate information, including resumes and contact details, using our Applicant Tracking SystemDesign job descriptions and interview questions that reflect each positions requirementsSupport in employer branding initiativesCoordinate and attend job fairs and recruitment eventsPlan and coordinate campus recruitment eventsForecast quarterly and annual hiring needs by departmentFoster long-term relationships with past applicants and potential candidatesConduct new hire reference checks, issue offer and appointment letters and also assist in the complete onboarding process",,"['Execute', 'Applicant Tracking SystemDesign']"
327,Frontend Engineer Web,"Who you are:An experienced front-end engineer who is familiar with all the modern frameworksSomeone who is excited about building things from the ground upSomeone who is experienced working with front-end infrastructure as well as implementing new featuresAn excellent communicatorNice to haves:4.5+ years of front-end experienceExperience with modern front-end frameworks - React Native, React JS, Redux, Javascript, libraries, components and frameworks.Experience in Android / iOS Native development is a plus.Experience with other development frameworks (Ionic, Angular, Vue, Native Android, Native iOS) would be a plus.Interest in the crypto/ blockchain space. Prior knowledge not required",React|Redux|Javascript,['Ionic']
328,Graphic Designer,"JOB DESCRIPTIONSOCIAL MEDIA Designing, creating, and executing quality social media content includingads, reels, and postsGenerating high-quality video content for social media through rawmaterial, live interactions, ongoing programsWork with copywriters and creative director to produce the final designDESIGN & BRANDING EXECUTIONDesign various marketing materials like brochures, PPTs, banners, flyers,standee, e-books, WhatsApp marketing collateral etcContinuing to use design and collateral as a tool to build BRG's brandAssisting and coordinating on website pages and other digital marketinginitiatives",,"['WhatsApp', 'BRG']"
329,Python Developer,"Responsibilities: Contribute to new and on-going projects based on web services and mobile apps byimplementing best practices with minimal technical debt. Support the project management team with analysis and estimation. Work closely on projects with a major impact across various client and in-houseprojects. Perform hands-on coding along with the team members. Work in a highly experienced team that favours hands-on over indirect action. Dive into difficult problems and successfully deliver results on schedule.Qualifications:Must Have At least 3 years of experience building, scaling and maintaining production systemswritten in Python, Django or related frameworks. Deep understanding of the full software and product development lifecycle, from UXand design through to deployment into production and phase-out. Professional experience working with multiple programming languages. Experience with a range of typical backend systems such as all kinds of data-stores,queues etc. Experience building and managing web services and APIs for mobile apps. A healthy aversion to deploying on Fridays or after 16:00.Must Have If you have experience with Ruby or Go If you have worked with IoT technologies Familiar with Docker, containerisation If you love Linux and have Devops skills If you own a blog or domain name",,"['UXand', 'IoT']"
330,Content Writer,"Job Responsibilities: Collaborate with the Marketing, Product & UX teams to identify, plan, and create usercommunication lifecycles Regularly produce various content types, including emails, sms, push notifications & other modesof user communication & setup using internal tools Actively manage and analyze content marketing metrics like open rate, click rate and makechanges as needed Collaborate with other departments to create innovative content ideas & conduct onlineexperiments (A/B testing) Translate customer insights into actionable recommendations",,[]
331,Recruiter & HR,"About the role- Identify qualified Tech & Non-tech candidate profiles using various sourcing techniques- Proactively interact with potential candidates through various job portals, social media, and professional networks (e.g. LinkedIn, Indeed, Angle list)- Work directly with the founders and develop talent pipelines for future hiring needs and strategic roles- Ensuring a good candidate experience during the recruitment process- As our first HR hire, be responsible for some of the other early-stage HR functions (Onboarding & Policies)What are we looking for?- 3-5+ years working in the early stage startups or similar organisations- You are a self-starter and can make decisions on your feet with minimal supervision, end-to-end ownership to drive outcomes.- You possess deep employee empathy- We are location agnostic, but in the same time zone (India). We have a small garden office @ Jayanagar, Bangalore (home to some of the best dosas in India) to jam together on anything that requires space.- You are somebody who shares the same.",,"['Tech & Non-tech', 'Angle list)- Work', 'Onboarding & Policies)What', 'Jayanagar, Bangalore']"
332,Senior A.I. Engineer,"Technical Knowledge-2+ years of experience building SotA machine learning modelsA knack for keeping up with publications & papers in the domainHighly proficient in PythonWorking knowledge of deep learning frameworks like PyTorch, Tensorflow, etc.Previous experience with startups earns brownie points.Technical Responsibilities-Understand the business problem and define the A.I. problem - How to automatically summarise videos that perform well on social media?Work closely with co-founders to gain customer insights. - Understand how content creators think when performing a task manuallyDevelop state-of-the-art algorithms for the product. - Perform literature surveys, make and break stuff! Then, once you find a promising approach, dive deep and nail the final algorithm.Own the entire process of developing an A.I. model, from literature survey to deployment.Interpersonal Qualities-Ability to lead - This role let us you lead the team in the next 3-6 monthsHigh ownership of work & deadlines - this is your life's best workCollaborative - you only grow when others around you growGrowth mindset - you do not want to just code but take a keen interest in other aspects of the businessOkay, with ambiguity - you can take decisions yourself with sound logicIndependent - there will be nobody micromanaging your work. You are responsible for your outputHigh entropy environment - things change fast at a startup, and you can adapt quickly",,"['PythonWorking', 'PyTorch, Tensorflow', 'brownie points', 'Technical Responsibilities-Understand', 'A.I.', 'social media?Work', 'A.I.']"
333,Lead QA Engineer,"RequirementsTesting is your passion and are good at building automated systems for same2+ years of experience in software test automation frameworksHave relevant experience with automating web based apps using Selenium/Watir/Webdriver.io, automating REST based applications and using testing tools & processes.Have experience with designing test suites/plans, dependency matrixAbility to work independently and scale automation framework and be able to mentor other QA members in the team technicallyShould have the knack to identify problems that are deep below the surfaceWell versed with Lean methodologies, TDD and Test Engineering and AutomationGood to haveUnderstanding of interactive application development paradigm, memory management, performance/resource optimisations, database interactions, network programming, concurrency and multithreading, fault tolerance, monitoring, security and operability of systemsHave experience in at least one programming language such as: PHP/Java/Python/Ruby/Go/JavaScriptKnowledge of Linux as a production environment",,"['RequirementsTesting', 'Selenium/Watir/Webdriver.io', 'REST', 'QA', 'TDD', 'Test Engineering', 'AutomationGood', 'PHP/Java/Python/Ruby/Go']"
334,Data Analyst Intern,"ResponsibilitiesConfigure and run our proprietary AI & Deep Learning platformsUnderstand business requirements and map to deliverablesCollaborate with core engineering team and business teamsData preparationData labellingInsight extraction & benchmarkingHandle client communication to evaluate requirements, plan and act as client touch point for projectsSkills And QualificationsYrs of experience: 0+ yrsVery good problem solving capabilities and aptitudeVery good team player, with drive to work with complete ownershipFire to drive resultsPassion to understand data and derive insightsVery good communication and presentation skillsGood to have: Knowledge on SQL, Google Data Prep, Python Scripting",,"['ResponsibilitiesConfigure', 'AI & Deep Learning', 'extraction & benchmarkingHandle', 'QualificationsYrs', 'Google Data Prep']"
335,Lead Trainer,"Key Skills: Passion for the organisation and respect for individual. Maturity to understand and deliver in a dynamic developing environment. Very good understanding in his/her process. Good written and verbal communication skills. Exceptional people and team skills. Competence to lead by example. Acceptance towards feedback and organization changes. Ability to understand and interpret data. Basic understanding of Excel, PowerPoint, Word. Prior Fintech Experience",,['PowerPoint']
336,Senior Content and Copywriter,"Key Responsibilities: Research industry-related topics (combining online sources, interviews andstudies) Write clear marketing copy to promote our products/services on socialmedia and other digital platforms Prepare well-structured drafts using Content Management Systems Proofread and edit blog posts before publication Prepare and manage content calendar Coordinate with marketing and design teams to illustrate articles and socialmedia posts Conduct simple keyword research and use SEO guidelines to increase webtraffic Work with social media team to create and promote content on social media Identify customers needs and gaps in our content and recommend newtopics Ensure all-around consistency (style, fonts, images and tone) Update website and app content as neededKey Skills: Proven work experience of 2-3 years as a Content Writer, Copywriter orsimilar role Portfolio of published articles Experience doing research using multiple sources Familiarity with web publications Excellent writing and editing skills in English Hands-on experience with Content Management Systems (e.g. WordPress/Hubspot) Ability to meet deadlines BSc in English, Journalism or related field",,"['Key Responsibilities: Research', 'Content Management Systems Proofread', 'Content Writer', 'Familiarity', 'Content Management Systems', 'WordPress/Hubspot) Ability']"
337,Backend Developer,"We design our front end to be 100% localized, as lightweight as possible, and able to run dozens of different experiments simultaneously - by holding the complexities in the backend.Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.Responsibilities Writing reusable, testable, and efficient code Develop maintain and version APIs for the front-end to interact with the system Integration of user-facing elements developed by front-end developers with server side logic Optimization of the application for maximum speed and scalability Implementation of security and data protectionSkills And Qualifications Good knowledge in Python, with knowledge of at least one Python web framework (Preferably Django) Familiarity with some ORM (Object Relational Mapper) libraries (Especially Django ORM) Good understanding of server-side templating languages such as Django templates or Jinja 2 Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3 Knowledge of user authentication and authorization between multiple systems,servers, and environments Understanding of fundamental design principles behind a scalable application Able to create database schemas that represent and support business processes Strong debugging skills Proficient understanding of Git Basic understanding and experience in Devops (CI/CD, AWS Services etc.)The above list is for a very basic understanding of what we do as backend engineers. But at the end of the day, we need to go to any extent to make sure our users love the things we build for them. It is completely fine if you do not know how something is done; all we care is that you have the right attitude to roll up your sleeves, get your hands dirty, experiment, and then figure it out yourself.",,"['Develop', 'Optimization of the application', 'Object Relational Mapper', 'JavaScript', 'Git Basic', 'CI', 'AWS Services']"
338,Mentor - Stock market,"Responsibilities & Requirements:> Have a strong subject knowledge in the Indian Stock Market> Mentor students and take live sessions.> Good presentation and camera facing skill> Ability to present themself in stock market educational content in social media and ads> Have impeccable communication skills> Be able to map theoretical knowledge to practical applications> Be a self-driven quick learner and show adaptability to new concepts and tools> Be able to make learning easy for students from different backgrounds and of different cognitive abilities> Conducting online audio/video classes, clarifying doubts",,['Responsibilities & Requirements']
339,Frontend Engineer Mobile,Who you are: An experienced front-end engineer who is familiar with all the modern frameworks Someone excited about building things from the ground up Someone who is experienced working with front-end infrastructure as well asimplementing new features An excellent communicatorWhat you will do: Make architecture decisions on the future of our front-end Implement front-end infrastructure and frameworks that power our products Lead front-end-related projects Mentor more junior front-end engineers to make our team more effective,,[]
340,QA Engineer,"Must Have :Very good understanding of SDLC and STLC.Hands-on experience in understanding various requirements and creating documentation for it.Hands-on experience in multiple types of testing and techniques: Functional testing, Regression testing, Smoke testing, Exploratory testing.Hands-on experience in writing Test Cases and Test data creation.Hands-on experience in Test Case Execution and Test Reports preparation.Hands-on experience in any of the Defect tracking tools and logging Defects.Ability to work in a fast-paced, startup environment.Be able to independently research issues using existing documentation (specifications and user manual).Proven interpersonal, analytical, attention to detail/strategy and creative problem-solving skills.Good written and oral communication skills.Experience working in a team-oriented, collaborative environment.",,['Test Cases and Test']
341,Frontend Engineer,Who you are:An experienced front-end engineer who is familiar with all the modern frameworksSomeone who is excited about building things from the ground upSomeone who is experienced working with front-end infrastructure as well as implementing new featuresAn excellent communicator,,[]
342,C++ Qt Developer,"Skills Required: Hands on experience in Windows Desktop Application DevelopmentRoles and Responsibilities: Design enhancements, updates, and programming changes for portions and subsystems ofsystems software, including operating systems, compliers, networking. Should Analyzes design and determines coding, programming, and integration activitiesrequired based on general objectives Writes and executes code, protocols, and documentation for assigned portion of application Represents the software systems engineering team for all phases of larger and more-complex development projects.Key Words:C++, QT, Edge Computing/Edge Application",,"['Skills Required: Hands', 'Windows Desktop Application', 'Represents', 'Key Words', 'Edge Computing/Edge Application']"
343,Customer Support Executive,Experience level : 0-1 yearsof experience will also workGood communicationskillsVery good English grammarPatientHard workingOpen to join and grow with a startupLooking for someone who can handle Voice support for the company,,[]
344,Content Creator,"Responsibilities:Creating well-researched, engaging, and easy-to-grasp contentBrainstorm with the relevant teams in order to create the best and most effective content and strategies for the intended audiencesWorking on content strategy, content editing, calendar, and frequencyWorking exclusively with a selected few Density users to bring to light successful case studiesAssisting community manager in framing engaging responses on social media handlesIdeating and spearheading content around organic posts as well as SEO-enhancing strategic postsWork with the product and developer team to ensure uniformity of voice across the productWork with the branding team to define brand tone and voice along with a guidebook for the rest of the stakeholdersRequirements:At least 2+ years experience in content writingGreat written and spoken English skills, impeccable grammarStrong narrative skillsCuriosity and Perseverance amidst ambiguity. Sometimes our topics will force you to go down a rabbit hole.An embracing attitude towards the same is a huge plus.An eye for good visuals and a prior experience in social media are good to haveStrong interpersonal skill is a good plus",,"['Density', 'Perseverance']"
345,Senior Devops Engineer,"Key responsibilitiesOwn the release cadenceRun the day-day build, and deployment activities as per the defined sprint & release cadence. As a DevOps release engineer, you will be responsible to be aware of the release cadences of various products and plan your sprint activities accordingly. You will have to efficiently plan & design your sprint tasks to ensure that you work in tandem with the development & quality assurance team members. You will have to efficiently plan, communicate & deliver the release to various kits as per the release cadence. Clear proactive communications should be made before release roll-out. Release sign-off must be got before the planned release dates.Automate the release processYou will have to constantly look out to bring in improvements in the release process. The CI/CD, tools, and artifacts that we use for release activities. You will have to bring in measures to reduce the manual activities/steps carried out during release and come up with alternatives and solutions for the same. You should also have an urge to roll out the solutions.Process AdherenceYou must strictly adhere to the release process, and cadence & effectively communicate the same. You must ensure that all the internal stakeholders are informed before rolling out a release in a particular kit. You must ensure the release is passed through the defined engineering gates & is signed off before the release is rolled out. You should constantly contribute to process improvements by suggesting better ideas for efficient release management.Team PlayerYou should proactively communicate to resolve dependencies within and outside the team. You should build the ability to preempt conflicts within the team and resolve them if required. As a knowledge giver, you should foster a culture of learning and sharing knowledge within and across squads. You should engage in conversations that are objective and data-driven. Strive and push your team in this direction. Understand the organizations culture code and streamline conversations and activities that will further instill this code. Mentor and coach new additions to your team.Value/Mission AlignmentBe a champion for CareStack within the product team. Help drive workplace and cultural norms within your business unit that align with CareStack company values.As a DevOps Engineer, you will be,Providing daily, hands-on assistance to maintain and advance the build process to ensure reliability and optimum integration with CI/CD and Release Management.Working with the development, deployment, and automation teams on the CI/CD process and specifically on building processes and tools for Docker/Kubernetes/App Service deployments.Providing architecture and design recommendations on continuous integration and continuous delivery/deployment capabilities.Developing & maintaining automated deployment systems.Recommending process improvements to ensure system scalability & reliability.Developing & implementing the deployment plan as per the release cadence.Analyzing & troubleshooting deployment issues promptly.Assisting in establishing best practices to support cloud deployment using containerization, continuous integration & continuous delivery.Managing the source code control system.Communicating the release-related activities to all the relevant stakeholders & take their feedback to improve the process.",,"['sprint & release', 'DevOps', 'communicate & deliver', 'CI', 'cadence & effectively', 'Value/Mission AlignmentBe', 'CareStack', 'DevOps Engineer', 'CI', 'Release Management', 'CI', 'Docker/Kubernetes/App Service', 'Analyzing &']"
346,Lead Computer Vision Engineer,"Skills Required:Worked on OpenCV implementation, data pre-processing, computer vision models, Python, Tensorflow, Keras and PytorchExperience in investigating, prototyping, and productizing computer vision system solutions.Experience working with deep learning frameworks like TensorFlow, PyTorch, Keras.Working on face recognition or Human detection will be an added advantageRoles and Responsibilities:Train machine learning and deep learning models on a computing CPU/GPU cluster to perform visual recognition tasks, such as segmentation and detectionDevelop state-of-the-art algorithms in one or all the following areas: deep learning (Face recognition/Human Detection /classification, tracking,Ability to debug complex applications Follow agile processesDeliver products with high complexity and surface areaOwnership of features and components from concept, design, development, deployment and finally deprecationKey WordsPython, Tensorflow, Keras, Pytorch",,"['Skills Required:Worked', 'PytorchExperience', 'TensorFlow', 'PyTorch', 'CPU', 'GPU', 'WordsPython', 'Pytorch']"
347,Growth Marketing Associate,"Responsibilities:Develop and execute growth marketing strategies: Identify growth opportunities, conduct market research, and develop data-driven marketing strategies to drive customer acquisition and revenue growth.Customer acquisition and retention: Implement and manage various marketing channels such as social media, content marketing, email marketing, search engine optimization (SEO), paid advertising, and referral programs to acquire and retain customers.Analytics and reporting: Monitor, analyze, and optimize key performance indicators (KPIs) and metrics to measure the effectiveness of marketing campaigns. Generate reports and provide insights to drive data-informed decision-making.Conversion rate optimization (CRO): Conduct A/B testing, optimize landing pages, and improve user experience to increase conversion rates across various marketing channels.Content creation and management: Collaborate with the content team to develop engaging and relevant marketing content, including blog posts, social media content, email campaigns, and website copy.Collaborate with cross-functional teams: Work closely with product, design, and engineering teams to align marketing initiatives with product development, provide user feedback, and ensure consistent branding.Stay updated with industry trends: Keep abreast of the latest trends, tools, and best practices in growth marketing and incorporate them into the marketing strategy to drive continuous improvement.",SEO/SEM|Figma|Startup experience,['CRO']
348,Product Manager,"Who are we looking for?We are looking for a technical product manager who can get to the heart of a problem quickly and solve for it. If you love to work in a start-up like and high performance environment, drive great things and be great in the process; if you love the amalgamation of Analytics, Machine Learning and Technology to build world-class software products and solutions; Infinx is the place for you.As an integral member of the Product team at Infinx, you will be bestowed with theresponsibility to ensure product line success. In this role, you will work with the Product Team to shape the direction of Infinxs Revenue Cycle and Patient Access products that establishes us as a SaaS leader in a highly competitive and rapidly changing healthcare market. Apply your expertise to build products for healthcare providers so that they focus more time doing what they do best: provide patient care.How will you lead? Liaise with the Product Leadership to prioritize initiatives for scrum teams; defineoutcome for sprints and releases Work closely with the product engineering team to drive product requirements andensure timely release of products and solutions, managing the complete life cycle ofproducts/modules you are responsible for Build, groom and prioritize the backlog based on KPI/data driven decision making; value data over opinions Drive product releases against committed features and functionalities through feature prioritization and trade-off decision making with product engineering Act like an owner for the success of your product and ensure that product decisions are based on strong logical rigour and in-depth analysis Monitor industry trends and evangelize new offering and solutions with the leadership team; combine tactical roadmaps and requirements with strategic goals Collaborate cross-functionally with developers, account leads, operations and customer success to coordinate releases and deliver high market-acceptance products.",,"['Analytics, Machine Learning and Technology', 'Infinx', 'the Product Team', 'Infinxs Revenue Cycle and Patient Access', 'KPI']"
349,Staff SDE (Squad Lead),"Key ResponsibilitiesTechnical DesignCreate technical designs that solve problems within your functional area, and align them to multiple platform releases. You should drive design reviews within your engineering team, drawing inspiration from a large base of design patterns while considering product economics on the cloud.Process Definition/AdherenceReview and drive incremental improvement in process definitions to ensure high codequality, zero defect releases and effective collaboration with DevOps/Technical Governance and Regression team. Validate overall estimations for user stories including design, development and quality assurance activities. As a scrum master, define sprint goals, measure and retrospect defect leakage and defect density, use scrum metrics like velocity/burndown to drive effective retrospectives and capacity planning.Team PlayerPromote a positive team environment by facilitating honest, open discussions and feedback. Set the right expectations for your team members based on their roles and associated responsibilities. Mentor software development engineers to become techno-functional champions in the squad.Value/Mission AlignmentBe a champion for CareStack within the product team. Help drive workplace and cultural norms within your business unit that align with CareStack company values.Key Words Angular, NET Core/ASP.NET / Angular 2+, Cloud Architecture, Api, Design.Dot.net framework",,"['Definition/AdherenceReview', 'DevOps/Technical Governance and Regression', 'Value/Mission AlignmentBe', 'CareStack', 'Key Words Angular', 'NET Core', 'Api']"
350,Assistant Manager Sales,We are looking for someone who will be: Continually meeting or exceeding sales quotas. Supervising and guiding the sales team as well as providing incentives to motivate staff to achieve sales targets. Monitoring the performance of the sales team. Building and maintaining good working relationships with customers. Identifying opportunities and strategies to increase sales. Regularly attending sales meetings and training sessions. Performing all duties of the Sales Manager in cases of absence or emergency.,,[]
351,Senior Backend Developer,"If you like:Writing clear, readable codeThinking about system architectureShipping featuresInvestigating and fixing performance bottlenecksOptimizing resource usage (DB, CPU)Working independently and autonomouslyMoving fast, while also thinking carefully about a system that will have billions of dollars flowing through it this role may be a good fit for you.Some technologies that you are likely to work with if you join us:Golang, C++, C#SQL/PostgresGoogle CI/CD / App EngineYour choice -- help us set the technical direction as we scale both our team and the product! Is there a tool or technology that we should be using that were not using yet? Well think carefully about adding new pieces to the tech stack (no change just for changes sake), but we remain continually open to new ideas.Requirements:4+ years of software engineering experienceStrong analytical and quantitative skillsClear thinking and communicationAs an early employee at Density, you will be a critical part of our core team and have a huge influence over the direction of the company. We will compensate you well, invest deeply in your development, and do everything we can to make sure this is the single best work experience of your life.",,['Golang']
352,Business Development Manager,"ResponsibilitiesIdentify business promotion and affiliate marketing/branding opportunities.Arrange meetings/visits for collaborations with affiliates/luxury brands/ high end event management companies.Arrange innovative events and promotional activities for the company though variousBTL channels as well as with complementary brands.Branding and partnership tie-ups with restaurants, cafs, art galleries, architects, home dcor showrooms, other luxury brands etcIdentify, meet and promote through channel partners in the luxury sales segment on a regular basis.Maintain healthy relations with all business partners.Release new and relevant communication to all partners about the projects and company from time to time.Assist with project collaterals/broker onboarding/client registrations/event set-ups/invitations to HNIs.Drive sales through various other business sources by regular follow ups and encourage them to sell ReWild.RequirementsBachelors degree is required.Min. 2 years of experience in a similar field or sales. Preferably luxury sales.A strong network with channel partners is a good to have, not mandatory.Enthusiasm to learn, meet new people and establish relations.Innovative ideas and seamless execution of promotions.Strong negotiation skills.Willing to travel regularly within Bangalore.Well dressed and well spoken.Good communication skills verbal and written.",,['ResponsibilitiesIdentify']
353,Insight specialist,"KEY RESPONSIBILITIESAnalyze data from multiple sources to find trends, patterns and actionable insights.Write clear narrative around current customer, employee or market perceptions, with succinct recommendations for clients to take action against.Clearly communicate the key takeaways and methodologies to various client and internal stakeholders.Manage and coordinate multiple client projects for yourself and other team members.Manage the workloads and quick turnaround times in a fast paced environment.Work with various teams from insights to customer success managers and technical success managers.DESIRED EXPERIENCE2-4 years of experience in related fields, preferably in the customer experience or market research industry.Client facing experience.Excellent written and verbal communication and presentation skills.Ability to prepare analyses, data plans and overall reports in MS PowerPoint.Ability to effectively communicate results of data analysis into an integrated story to an audience.Minimum bachelors degree is required. Degree in statistics, mathematics and/or market research is preferred.",,"['KEY RESPONSIBILITIESAnalyze', 'EXPERIENCE2-4 years', 'MS PowerPoint', 'mathematics and/or market']"
